,Horsepower,Extra propeller,Retractable Landing gear,Empty Weight (lb),Payload Weight (lb),Fuel Load (lb)(Enough for 40 min),Total Weight (lb),Wing 1 Semi-Length,Wing 1 Lat Arm,Wing 1 Root Chord,Wing 1 Tip Chord,Sweep,Long Arm,Wing Area,Aspect Ratio,Wing Loading,Power Loading,Score
1224,475,0,0,1940.2800000000004,5600,300,7840.280000000001,45,2,2.6,2.3,0,13,220.50000000000003,36.73469387755102,35.556825396825396,16.50585263157895,89191.92718712629
1225,475,1,1,1872.28,5600,300,7772.28,45,2,2.6,2.0,0,13,206.99999999999997,39.130434782608695,37.5472463768116,16.362694736842105,89191.92718712629
1226,425,0,1,1588.28,5600,300,7488.28,35,2,4.1,2.3,0,13,223.99999999999997,21.875000000000004,33.42982142857143,17.619482352941176,89188.4094982152
1227,425,0,1,1588.28,5600,300,7488.28,35,2,4.1,2.3,0,13,223.99999999999997,21.875000000000004,33.42982142857143,17.619482352941176,89188.4094982152
1228,475,0,1,1744.2800000000002,5600,300,7644.280000000001,45,2,2.0,2.3,0,13,193.5,41.86046511627907,39.50532299741602,16.09322105263158,89179.92832579471
1229,475,0,1,1852.28,5600,300,7752.28,45,2,2.3,2.3,0,13,206.99999999999997,39.130434782608695,37.45062801932367,16.32058947368421,89179.92832579471
1230,475,0,1,1744.2800000000002,5600,300,7644.280000000001,45,2,2.0,2.3,0,13,193.5,41.86046511627907,39.50532299741602,16.09322105263158,89179.92832579471
1231,475,1,1,1764.2800000000002,5600,300,7664.280000000001,45,2,2.0,2.3,0,13,193.5,41.86046511627907,39.608682170542636,16.135326315789474,89179.92832579471
1232,475,1,1,1764.2800000000002,5600,300,7664.280000000001,45,2,2.0,2.3,0,13,193.5,41.86046511627907,39.608682170542636,16.135326315789474,89179.92832579471
1233,475,0,1,1852.28,5600,300,7752.28,45,2,2.3,2.3,0,13,206.99999999999997,39.130434782608695,37.45062801932367,16.32058947368421,89179.92832579471
1234,475,0,1,1744.2800000000002,5600,300,7644.280000000001,45,2,2.3,2.0,0,13,193.5,41.86046511627907,39.50532299741602,16.09322105263158,89179.92832579471
1235,475,0,0,1832.28,5600,300,7732.28,45,2,2.3,2.3,0,13,206.99999999999997,39.130434782608695,37.354009661835754,16.278484210526315,89179.92832579471
1236,425,0,1,2236.28,5300,300,7836.280000000001,50,2,3.5,2.6,0,13,305.0,32.786885245901644,25.692721311475413,18.438305882352942,89176.58780014941
1237,425,0,1,2236.28,5300,300,7836.280000000001,50,2,3.5,2.6,0,13,305.0,32.786885245901644,25.692721311475413,18.438305882352942,89176.58780014941
1238,425,1,0,2236.28,5300,300,7836.280000000001,50,2,3.5,2.6,0,13,305.0,32.786885245901644,25.692721311475413,18.438305882352942,89176.58780014941
1239,400,1,1,1920.2800000000002,5600,300,7820.280000000001,45,2,4.1,2.3,0,13,288.0,28.125000000000004,27.153750000000002,19.550700000000003,89175.74168375401
1240,400,0,1,1900.2800000000002,5600,300,7800.280000000001,45,2,4.1,2.3,0,13,288.0,28.125000000000004,27.08430555555556,19.500700000000002,89175.74168375401
1241,475,1,0,1852.28,5300,300,7452.28,45,2,2.0,2.6,0,13,206.99999999999997,39.130434782608695,36.00135265700484,15.689010526315789,89175.11484051951
